County,Population
Adams,35491
Allen,372877
Bartholomew,82040
Benton,8613
Blackford,11976
Boone,65875
Brown,15035
Carroll,20039
Cass,37994
Clark,116973
Clay,26198
Clinton,32317
Crawford,10566
Daviess,33113
Dearborn,49741
Decatur,26737
DeKalb,42836
Delaware,115184
Dubois,42558
Elkhart,205032
Fayette,23209
Floyd,77071
Fountain,16505
Franklin,22619
Fulton,20059
Gibson,33576
Grant,66491
Greene,32177
Hamilton,323747
Hancock,74985
Harrison,39898
Hendricks,163685
Henry,48476
Howard,82363
Huntington,36337
Jackson,43884
Jasper,33447
Jay,20945
Jefferson,32089
Jennings,27626
Johnson,153897
Knox,37508
Kosciusko,79206
LaGrange,39303
Lake,485640
LaPorte,110029
Lawrence,45666
Madison,129498
Marion,950082
Marshall,46498
Martin,10215
Miami,35845
Monroe,146986
Montgomery,38525
Morgan,69713
Newton,14130
Noble,47452
Ohio,5828
Orange,19426
Owen,20839
Parke,16886
Perry,19081
Pike,12365
Porter,168404
Posey,25595
Pulaski,12534
Putnam,37702
Randolph,24922
Ripley,28442
Rush,16645
St. Joseph,270434
Scott,23870
Shelby,44395
Spencer,20394
Starke,22893
Steuben,34484
Sullivan,20746
Switzerland,10696
Tippecanoe,190587
Tipton,15128
Union,7200
Vanderburgh,181616
Vermillion,15505
Vigo,107516
Wabash,31443
Warren,8201
Warrick,62530
Washington,27827
Wayne,66185
Wells,27984
White,24182
Whitley,33756
